CMOC,,UMOC,,OCB,
X,Y,X,Y,X,Y
0.6195138052086436,4.781129287001733,1.1718722981093486,6.248408523159423,1.467227815361389,11.729787620016076
0.30535656011856777,8.042387789440749,1.0975726879404948,2.6183434660826173,1.1775584739226599,10.673463070247998
0.29635808097063954,5.69781994717545,1.1589388306878456,2.352930897035403,0.4600372627252544,7.697006109606782
0.7284020739005219,9.052985985018065,1.493501269895303,2.9549876260075223,0.11905711230367326,3.25052383512217
0.7406713390999627,5.573206270377149,1.576547451176372,2.4248282037156947,0.16837682461627893,1.3552309451333713
0.8957762404428488,10.63897067022603,0.4174293025003725,0.09607111176203631,3.1266383906833912,15.88094172157435
1.0411344091180659,4.358774217492684,1.751796555203329,5.033227539997043,2.902409385474737,16.600455682466873
1.1766940555264183,3.7521406923777256,1.9677809418650578,5.069633872951467,3.7379564705919543,16.635197725914818
1.3144513255983883,4.961080589890777,2.3328211566982215,4.386775888439349,3.47002993005438,17.39253266584229
1.5504959932142033,5.9424288973915615,2.4981964773498087,4.4994066807909405,3.924437886393295,17.39103480528645
1.4710722195303545,7.871964543976354,2.984048367992622,4.459422125397559,4.9890772414845195,18.068899921279105
1.6551136009678389,9.383389059293641,3.306987561790469,4.647278803442422,3.093378517373951,18.604218641041044
1.2711588982127586,11.844998061102725,3.150758478732444,4.156188577315401,3.474051961241487,18.45152007882075
1.581299669537219,11.426304428507947,3.1325295462295784,5.101796267664355,3.694676317863996,18.488592127577775
1.6506516491158127,13.165570177263474,3.158066653757343,6.2741634032723255,3.981265637484798,18.033825019929864
1.4310183404864605,13.885916282909244,3.9034280669098402,6.233762775502324,4.930698900921824,19.808831385837227
1.9236501235815233,15.584282117042822,4.448738319793647,7.02642226020501,4.423457324987994,20.56658239814132
1.9409374962720232,17.5130688333497,5.878793385442235,5.585813263388797,2.973603883029771,20.004094152185957
2.5179893361078474,17.963758431706708,5.300539945436338,4.6793579836799815,3.144800514607073,21.17587878646666
2.379536414354701,16.262480090936776,4.621998701719234,4.4540963989767945,3.7348262137597925,22.119322900457178
2.758409131639175,20.080651469484415,24.99034915213361,3.5258389267329875,5.230991291340747,23.855010426773756
4.020369505793793,20.71903131693564,14.712159121937825,0.4309261604674717,6.967485981069031,17.15711891514953
4.272328864029305,20.03750476402871,11.12354634589838,7.317839352791097,11.620889619975252,16.05406943748679
4.730967847685817,19.506762840409614,8.242007678551003,8.229204286544054,10.98281782208374,14.428433054786748
6.2768850760297665,21.734788809983073,7.3337199732140075,7.738946205170283,3.5082102773700576,14.896181620585264
7.603672445114378,22.03502663695355,2.324992672056632,7.563821341850058,3.9358602941997294,13.797958582491342
7.647603618395921,21.051597967569652,3.2977995097377395,8.353817963342362,6.7010331015117535,19.010846174713784
8.764883552290637,20.709544866748658,2.782795299281129,9.377064759168988,6.259251314957935,19.162962235606805
7.4895597463509205,20.711458799681118,6.495293541026773,9.253283227123926,6.575868030661228,20.523934979537557
7.789944610540794,19.160299372396423,6.910358476178271,9.630744087195456,7.436069248085437,20.408974181876886
6.613040107103486,19.427043373048825,8.264543460125529,10.725388902850426,,
3.0664609403859684,16.864536819908896,7.823696058691802,10.612591681548192,,
4.981239966227879,16.631702717951192,9.866940851946344,10.231552599037709,,
4.618462492338043,16.254408286830312,8.717599317284295,9.514451857929593,,
5.25582954970711,15.685512526274971,9.855109819828954,9.134744207024301,,
5.254307674504962,15.420765673030354,9.765211943193314,13.257397350783965,,
6.163019924865187,17.499005587019873,7.927388047936458,16.399118259419463,,
7.312360877908616,17.57256718320665,,,,
9.557769590780929,18.628309231647464,,,,
8.920266580219652,18.024005711841586,,,,
7.869142611699854,15.9075287464405,,,,
7.43399295253912,13.903682573391006,,,,
4.671790872568015,14.249729969027571,,,,
3.91292721297407,14.705745293805348,,,,
2.8922207314622015,13.385672464496542,,,,
2.767496598206303,10.587419302762555,,,,
2.346566282450605,9.75735491140155,,,,
1.9466874281597033,7.717268834348275,,,,
2.070228789042548,7.716519904070356,,,,
2.2319204526772563,7.715604544841785,,,,
2.472746767773765,7.638714369642027,,,,
2.0808119548507915,6.127955570127337,,,,
3.34693763146738,9.374817968335229,,,,
2.7803786450119072,8.582824199435144,,,,
4.133625486216668,8.615818738901272,,,,
3.539188579139568,10.433139665511092,,,,
3.713141306573799,10.546020101288661,,,,
4.091007493850414,11.641663490647526,,,,
4.182350367036792,13.078611050549464,,,,
4.695479156448972,12.623344656049609,,,,
5.130842656924405,12.433157972695666,,,,
6.606818811939048,12.316616100003827,,,,
7.416176066626747,11.71006578936419,,,,
5.835780801813371,11.372589484686042,,,,
4.5639015265761165,11.640332059042334,,,,
4.722021767906915,11.526453049560878,,,,
5.191161102165471,10.617584550067654,,,,
4.619847981631707,10.278610384833662,,,,
5.292815537385978,9.596168472698164,,,,
6.28169108667235,9.934476922129559,,,,
6.224196646082119,7.7787643316130115,,,,
16.68476065600459,9.203978650494214,,,,
13.819048975400198,11.92941914631934,,,,
19.653288373746655,8.899413670806869,,,,
16.54778854647168,7.918148577781405,,,,
16.427565070579735,7.502201022872335,,,,
18.83378968715054,7.4627157543308975,,,,
13.181604871240177,6.256771577929523,,,,
20.942295175061915,4.473526978965047,,,,
27.33796765237652,4.356818677322561,,,,
